header;url;nb_points;theme;duree;sujet_url;correction_url
Quelle taille pour les mailles dun tamis ?;https://labolycee.org/quelle-taille-pour-les-mailles-dun-tamis;5 points;Tale Spécialité Physique Chimie | Diffraction | Interférences;55 minutes;https://www.labolycee.org/sites/default/files/2021-06/2021-03-Metro-Sujet2-ExoC-TamisInterferences-5pts.pdf;https://www.labolycee.org/sites/default/files/2023-03/2021-03-Metro-Sujet2-ExoC-TamisInterferences-5pts-Correction_0.pdf
Lacide lactique à la base de composés verts;https://labolycee.org/lacide-lactique-la-base-de-composes-verts;10 points;Tale Spécialité Physique Chimie | Acide-Base | Cinétique | Spectroscopie | Synthèse organique;1 heure 45 minutes;https://www.labolycee.org/sites/default/files/2022-11/2021-Polynesie-Sujet-Exo1-AcideLactiqueVert-10pts.pdf;https://www.labolycee.org/sites/default/files/2022-04/2021-Polynesie-Correction-Exo1-AcideLactiqueVert-10pts_2.pdf
La Terre et Vénus : des planètes qui se ressemblent;https://labolycee.org/la-terre-et-venus-des-planetes-qui-se-ressemblent;10 points;1ère EC Enseignement Scientifique | Le Soleil;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2427b-Sujet-TerreVenus.pdf;
Prévention dun traumatisme acoustique;https://labolycee.org/prevention-dun-traumatisme-acoustique;10 points;1ère EC Enseignement Scientifique | Son et musique;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-3179a-Sujet-TraumatismeAcoustique.pdf;https://www.labolycee.org/sites/default/files/2022-10/1EnsSci-3179a-Correction-TraumatismeAcoustique.pdf
Température moyenne de surface de la Terre;https://labolycee.org/temperature-moyenne-de-surface-de-la-terre;10 points;1ère EC Enseignement Scientifique | Le Soleil;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2404a-Sujet-TSurfaceTerre.pdf;
Terre plate ou Terre sphérique;https://labolycee.org/terre-plate-ou-terre-spherique;10 points;1ère EC Enseignement Scientifique | La Terre;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2409a-Sujet-TerrePlate.pdf;
Températures de surface de quelques objets du système solaire;https://labolycee.org/temperatures-de-surface-de-quelques-objets-du-systeme-solaire;10 points;1ère EC Enseignement Scientifique | Le Soleil;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-3383a-Sujet-RayonSolaire.pdf;
Le rayonnement solaire reçu sur Terre;https://labolycee.org/le-rayonnement-solaire-recu-sur-terre;10 points;1ère EC Enseignement Scientifique | Le Soleil;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-3379a-Sujet-RayonnementSolaire.pdf;
Production dun son;https://labolycee.org/production-dun-son;10 points;1ère EC Enseignement Scientifique | Son et musique;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2417a-Sujet-ProductionSon.pdf;https://www.labolycee.org/sites/default/files/2022-05/1EnsSci-2417a-Correction-ProductionSon.pdf
Un poison radioactif;https://labolycee.org/un-poison-radioactif;10 points;1ère EC Enseignement Scientifique | La matière;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2421b-Sujet-PoisonRadioactif.pdf;
La pile végétale;https://labolycee.org/la-pile-vegetale;10 points;1ère EC Enseignement Scientifique | Le Soleil;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-3181b-Sujet-PileVegetale.pdf;
La photosynthèse pour recharger nos batteries;https://labolycee.org/la-photosynthese-pour-recharger-nos-batteries;10 points;1ère EC Enseignement Scientifique | Le Soleil;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-3177b-Sujet-Photosynthese.pdf;
